avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.8,4,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,1,Seth
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,TechGuy
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,mr2loops
4.8,0,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Patrick
4.8,3,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Buriedpanther
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Syoung010
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,ThunderHawk
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Dave
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Kiel695
4.8,1,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Chris
4.8,0,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,Prettypictureplz
4.8,8,MT5A2LL/A,Apple - iPhone XS Max 64GB - Silver (Verizon),64,5,97%,6009878,1318,0,BarbfromVH
4.6,23,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,6,DaveRapido
4.6,3,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,1,88%,6303037,57,4,Nonono
4.6,16,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,4,88%,6303037,57,7,Chris
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,4,88%,6303037,57,0,HolyCow
4.6,25,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,2,88%,6303037,57,38,Hughster
4.6,8,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,Schtip
4.6,2,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,2,88%,6303037,57,4,Nick
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,rocketdog
4.6,2,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,4,88%,6303037,57,0,Hinton184
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,layla222
4.6,4,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,5,Andrew
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,rocketdog
4.6,5,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,3,88%,6303037,57,3,cosmichobo
4.6,1,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,Chris
4.6,5,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,3,john
4.6,5,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,2,88%,6303037,57,25,legsta
4.6,25,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,1,88%,6303037,57,143,EdgarH27
